======================================================

       SIMULAÇÃO E COMPARAÇÃO DE MODELOS              

======================================================

SKU: 3_252

Excel Path: /app/Dados/m5_foods_3_252.xlsx

2026-07-30 03:48:52.040 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 147.0

2026-07-30 03:48:52.088 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 147.0

2026-07-30 03:48:52.134 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 147.0

2026-07-30 03:48:52.181 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 147.0

2026-07-30 03:48:52.271 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 147.0

2026-07-30 03:48:52.318 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 147.0

2026-07-30 03:48:52.365 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 147.0

2026-07-30 03:48:52.411 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 147.0

2026-07-30 03:48:52.458 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 147.0

Limite Máximo de Encomenda Diária (Constrained): 147.0 un

[LOAD] A carregar Modelo A (PPO) de: /app/3_252/PPO_Limitado_3_252/ppo_constrained_final

[OK] Modelo A carregado.

[OK] Estatísticas Z-Score do Modelo A carregadas.

[LOAD] A carregar Modelo B (Agregador) de: /app/3_252/PPO_Agregador_Transition_3_252/ppo_transition_iter313

[OK] Modelo B carregado.

[OK] Estatísticas Z-Score do Modelo B carregadas.

[LOAD] A carregar Modelo Gamma 0.95 de: /app/3_252/PPO_Sem_Limites_Gamma095_3_252/ppo_completely_unconstrained_final

[OK] Modelo Gamma 0.95 carregado.

[LOAD] A carregar Modelo Gamma 0.8 de: /app/3_252/PPO_Sem_Limites_3_252/ppo_completely_unconstrained_final

[OK] Modelo Gamma 0.8 carregado.

[LOAD] A carregar Modelo Limitado Gamma 0.95 de: /app/3_252/PPO_Limitado_Gamma095_3_252/ppo_constrained_final

[OK] Modelo Limitado Gamma 0.95 carregado.

[OK] Min-Max Baseline Config: s=43, S=176

A iniciar a simulação diária comparativa...

[Dia 000] Ação Encomenda -> PPO: 038 | Agregador (Elite): 030 || Lucro Diário -> PPO: -21.2€ | Agregador: -20.4€

[Dia 001] Ação Encomenda -> PPO: 089 | Agregador (Elite): 000 || Lucro Diário -> PPO: -55.9€ | Agregador: 53.3€

[Dia 002] Ação Encomenda -> PPO: 000 | Agregador (Elite): 000 || Lucro Diário -> PPO: 60.0€ | Agregador: 43.3€

[Dia 003] Ação Encomenda -> PPO: 000 | Agregador (Elite): 000 || Lucro Diário -> PPO: 60.2€ | Agregador: -22.9€

[Dia 004] Ação Encomenda -> PPO: 000 | Agregador (Elite): 000 || Lucro Diário -> PPO: 48.2€ | Agregador: -19.6€

[Dia 005] Ação Encomenda -> PPO: 045 | Agregador (Elite): 059 || Lucro Diário -> PPO: -103.8€ | Agregador: -132.9€

[Dia 006] Ação Encomenda -> PPO: 000 | Agregador (Elite): 079 || Lucro Diário -> PPO: 57.4€ | Agregador: -34.3€

[Dia 007] Ação Encomenda -> PPO: 023 | Agregador (Elite): 018 || Lucro Diário -> PPO: -124.5€ | Agregador: -44.5€

[Dia 008] Ação Encomenda -> PPO: 061 | Agregador (Elite): 000 || Lucro Diário -> PPO: -81.3€ | Agregador: 39.9€

[Dia 009] Ação Encomenda -> PPO: 028 | Agregador (Elite): 026 || Lucro Diário -> PPO: -35.3€ | Agregador: -56.7€

[Dia 010] Ação Encomenda -> PPO: 045 | Agregador (Elite): 000 || Lucro Diário -> PPO: -42.4€ | Agregador: 25.2€

[Dia 011] Ação Encomenda -> PPO: 028 | Agregador (Elite): 022 || Lucro Diário -> PPO: -104.6€ | Agregador: -109.6€

[Dia 012] Ação Encomenda -> PPO: 026 | Agregador (Elite): 018 || Lucro Diário -> PPO: 9.5€ | Agregador: -94.3€

[Dia 013] Ação Encomenda -> PPO: 000 | Agregador (Elite): 045 || Lucro Diário -> PPO: 31.2€ | Agregador: -95.0€

[Dia 014] Ação Encomenda -> PPO: 057 | Agregador (Elite): 008 || Lucro Diário -> PPO: -124.7€ | Agregador: -57.2€

[Dia 015] Ação Encomenda -> PPO: 000 | Agregador (Elite): 018 || Lucro Diário -> PPO: 44.7€ | Agregador: -71.8€

[Dia 016] Ação Encomenda -> PPO: 000 | Agregador (Elite): 000 || Lucro Diário -> PPO: 42.6€ | Agregador: 17.0€

[Dia 017] Ação Encomenda -> PPO: 000 | Agregador (Elite): 022 || Lucro Diário -> PPO: -20.9€ | Agregador: -125.1€

[Dia 018] Ação Encomenda -> PPO: 000 | Agregador (Elite): 044 || Lucro Diário -> PPO: -22.9€ | Agregador: -83.9€

